Parent,name,class,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
1.0 General,Doctor in charge of patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0 General,Integrative team managing the patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0 General,Counselor in charge of the patient,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,1. Marital status,Misc,Coded,,,,,,,Unmarried,Married,Widow,Seperated due to disease,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,2. Living with,Misc,Coded,,,,,,,Alone,Spouse,Son,Daughter,Relative,Parents,Other,,,,,,,,,,,,,,,,
1.1 Demographic details,3. Employment status,Misc,Coded,,,,,,,Unemployed,Part time,Full time employed,House Making,Not working due to illness,Other,,,,,,,,,,,,,,,,,
1.1 Demographic details,4. What type of ration card is provided to you?,Misc,Coded,,,,,,,APL,BPL,,,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,5. Family annual income,Misc,Coded,,,,,,,"Rs 25,000-20,000","Rs 2,00,000-5,00,000","Rs 5,00,000-10,00,000",Above 10 lakhs,,,,,,,,,,,,,,,,,,,
1.1 Demographic details,6. Total family members,Misc,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,7. Where were you living before one year when swelling developed?,Misc,Coded,,,,,,,Coastal Area,Hilly area,Others,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,8. Is there any stagnant water in your surroundings?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,9. Is there any back water in your surroundings,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,10. Do you have proper drainage facility in your house & surroundings,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,11. Do you use common toilet which is not maintained properly?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,12. Industrialization around your house?,Misc,Boolean,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,13. Garbage dumped around your house/area?(improper waste disposal),Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,14. Is your house surrounded by agriculture lans?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2 Environmental Factors,15. What type of house are you living?,Misc,Coded,,,,,,,Independent house,Colony,Slum (area congested),Others,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,16. Body parts effected?,Misc,Coded,,,,,,,Right Lower limb,Left Lower limb,Bilateral Lower limb,Right Upper limb,Left Upper limb,Bilateral Upper limb,Genital,Whole body,Others,,,,,,,,,,,,,,
1.3 General Information about the disease,17. Since how long you have this swelling,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. When was the fever episode,First,Misc,Text,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,
18. When was the fever episode,Last,Misc,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19. What is the frequency of ADLA in a year,Before,Misc,Coded,,,,,,,0-3 months,3-6 months,6-12 months,,,,,,,,,,,,,,,,,,,,
19. What is the frequency of ADLA in a year,After,Misc,Text,,,,,,,0-3 months,3-6 months,6-12 months,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,20. According to you what is the cause of swelling?,Misc,Coded,,,,,,,A) From birth,B) After surgery / accident,C) Mosquito bite,D) After attaining puberty,E) Others,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,21. Any treatments taken earlier?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,22. Any history of disease in the family?,Misc,Boolean,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,23. Has your employment status changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3 General Information about the disease,24. Has your family income changed because of the disease?,Misc,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
